-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 07/01/2024 
Location: Latitude  27.72   Longitude 85.32 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1269.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,QV2M,PRECTOTCORR,PS,WS10M
2024,5,5,23.58,5.49,0.0,86.87,2.46
2024,5,6,23.98,7.26,0.05,87.12,2.85
2024,5,7,21.81,10.44,11.71,87.43,2.4
2024,5,8,19.2,12.27,29.2,87.48,1.95
2024,5,9,17.27,12.33,86.37,87.42,2.12
2024,5,10,19.65,12.27,13.42,87.4,1.71
2024,5,11,21.62,12.94,2.76,87.47,1.99
2024,5,12,20.55,14.04,21.65,87.54,2.11
2024,5,13,21.1,13.49,9.67,87.47,1.73
2024,5,14,22.39,12.82,1.34,87.5,1.95
2024,5,15,23.47,13.37,1.11,87.58,1.72
2024,5,16,24.76,12.7,0.42,87.47,2.18
2024,5,17,23.94,11.35,0.0,87.27,2.33
2024,5,18,24.92,12.02,0.04,87.08,1.95
2024,5,19,23.88,12.63,0.84,86.99,2.2
2024,5,20,23.22,12.27,1.43,87.09,2.34
2024,5,21,23.04,12.94,1.95,87.21,1.8
2024,5,22,23.25,13.67,2.2,87.22,2.58
2024,5,23,24.0,13.67,1.96,87.13,2.04
2024,5,24,25.43,13.0,0.23,87.0,1.88
2024,5,25,26.19,13.67,0.48,86.87,2.03
2024,5,26,26.65,14.59,0.73,86.8,1.91
2024,5,27,25.76,17.03,26.96,86.52,2.15
2024,5,28,24.83,16.78,28.12,86.34,2.67
2024,5,29,26.08,10.38,0.0,86.56,2.42
2024,5,30,26.58,11.23,0.0,86.79,2.34
2024,5,31,26.14,12.21,0.0,86.93,2.25
2024,6,1,24.67,11.17,0.0,87.03,2.48
2024,6,2,24.78,9.95,0.0,87.09,2.53
2024,6,3,25.0,9.83,0.01,86.98,2.27
2024,6,4,24.84,10.13,0.0,87.06,2.09
2024,6,5,24.05,10.38,0.01,87.12,2.31
2024,6,6,24.81,10.19,0.0,87.15,2.84
2024,6,7,24.86,9.09,0.0,86.98,2.52
2024,6,8,26.25,9.46,0.0,86.83,2.69
2024,6,9,26.78,9.64,0.0,86.83,2.49
2024,6,10,27.74,10.25,0.0,86.86,2.42
2024,6,11,28.23,9.16,0.0,86.85,2.07
2024,6,12,27.22,11.35,0.0,86.86,2.34
2024,6,13,27.9,11.35,0.0,86.72,2.57
2024,6,14,27.9,10.99,0.0,86.67,2.39
2024,6,15,27.98,11.66,0.0,86.67,2.58
2024,6,16,27.4,12.88,0.05,86.77,2.46
2024,6,17,28.15,11.78,0.0,86.8,2.41
2024,6,18,28.71,11.78,0.72,86.59,2.54
2024,6,19,28.36,13.79,4.33,86.49,2.4
2024,6,20,25.9,14.53,3.36,86.64,2.04
2024,6,21,25.58,16.36,9.67,86.73,2.52
2024,6,22,24.69,17.58,24.05,86.79,2.12
2024,6,23,25.4,17.33,18.89,86.87,2.07
2024,6,24,26.33,17.52,15.55,86.72,2.36
2024,6,25,24.0,18.49,60.83,86.68,1.76
2024,6,26,22.62,18.13,145.49,86.83,2.21
2024,6,27,24.62,16.78,9.06,86.97,2.05
2024,6,28,23.48,18.62,51.92,86.82,2.43
2024,6,29,23.92,18.86,62.54,86.72,2.33
2024,6,30,24.15,18.68,24.29,86.65,2.37
2024,7,1,24.05,18.43,16.63,86.49,2.02
